provider_id,claim_id,provider_firstname,provider_lastname,provider_type,provider_credentials,provider_education,provider_graduation_date,provider_skills,provider_location,hackathon_team
171bf666-bd33-4955-a145-ba2e04bf4c66,0e99e1e1-e5e8-4a7a-91e7-dea316e63eee,Joseph,Mendoza,Pharmacist,Law nearly list.,MD,2015-05-17 02:06:01,Gastroenterology,"Lawrencetown, MT, 41302",Team 2
b7262691-8e21-40b9-8385-6f355b0df71b,168bdd97-a27f-4b1f-96e2-10f422edc91e,Cameron,Dougherty,Nurse,Quite feeling direction.,PharmD,2018-01-26 00:08:45,Dermatology,"North Shannonborough, LA, 83188",Team 4
75f15229-e369-44ed-8df3-9de79dbb22f1,08b06597-110b-44b8-bb3b-98e55d1537d0,Bryan,Burke,Medical Doctor,Because something task try bit pretty resource.,PharmD,2014-09-17 16:26:37,Oncology,"Stantonport, OK, 64054",Team 5
5bb281a8-6b29-4594-841c-b936acff1d66,42ce519d-7b48-45a8-84eb-8de4cd300e59,Shannon,Lee,Pharmacist,How newspaper brother paper Democrat wide yet while.,MD,2018-12-09 17:46:03,Cardiology,"New Renee, CT, 14732",Team 4
92822b2f-7913-417e-8272-7c3d49636bca,eb7d2e01-f63f-485d-be25-7d79b8f3b22d,Patricia,Ferguson,Medical Doctor,Eye bar growth loss out sort long.,PharmD,2015-01-27 06:48:43,Dermatology,"New Jeffreystad, NH, 83935",Team 4
e5d5be4e-6366-4273-8c4b-2b69a44013e7,9f17577c-6e79-4b2c-a90c-074d0e5e78a8,Dylan,Robinson,Pharmacist,Large ready hotel think two.,PharmD,2015-11-23 02:15:03,Geriatrics,"Smithview, FL, 72524",Team 1
04794f54-3f1c-48ce-8e66-1b4f06d9f3d6,2f219d7b-7162-4cbc-8bd9-22b864908c44,Curtis,Smith,Medical Doctor,Life car drop boy pick sometimes.,MD,2022-04-26 04:35:55,Gastroenterology,"Ashleyport, FM, 45975",Team 3
1b3c4f31-ca8c-47a5-976c-23846373b4da,f90c3b8f-a48a-48a7-82a9-75f0a96e35ec,Andrew,Cooper,Medical Doctor,Star fund least smile identify.,RN,2019-12-09 06:25:18,Geriatrics,"Port Amandamouth, PW, 33948",Team 5
0df3897f-52b2-41ea-8ccb-a8b1ed4e9da3,a683d76c-5204-4fb9-9e3e-c9bcfc84b872,Amanda,Sullivan,Medical Doctor,Important process to particularly change show city ok.,RN,2021-01-30 11:48:19,Neurology,"New Josephmouth, ME, 12100",Team 5
9177e738-169b-44ef-93b3-7c9b4d8c61e4,d1bdba5b-e371-40b0-8567-f223e9110894,Tonya,Watson,Nurse,Sea culture speak various.,MD,2022-02-09 15:53:49,Neurology,"Erinhaven, RI, 98698",Team 2
6746ecc3-3e94-441f-980c-59457e3052ad,be64da36-8a0b-481b-8a21-4c2237ad740b,Patrick,Boyle,Pharmacist,Ago or international physical hope together.,RN,2015-05-19 01:28:36,Geriatrics,"Lake Tomfort, FL, 49132",Team 3
0bd1f986-aef6-4f5c-9fef-efdab6fc26d4,fae39c89-4de4-496b-aacf-c8c896e00311,Colleen,Taylor,Pharmacist,Fine job that oil campaign sense.,MD,2014-12-24 14:07:57,Gastroenterology,"East Ritatown, NC, 10803",Team 4
b791b9b5-f8b6-40db-b106-5005fc5f0d0c,2aae42b6-9f3f-4a3d-9cfa-ba44b8b4fac4,Michael,Obrien,Nurse,Anything fill ready oil second together.,PharmD,2018-12-03 13:48:09,Geriatrics,"East Andrew, GA, 58435",Team 2
87dc9f58-2130-4553-b903-d23f45285368,6bfec9c8-a077-4670-9c52-47b5f9f948e0,Christopher,Choi,Pharmacist,Training bad table.,PharmD,2024-02-06 23:36:30,Pediatrics,"New Timothyton, VI, 85351",Team 1
698072a6-8aa2-4962-b1af-db35e09f80e0,44f7ea7c-d8ca-481f-9a79-97ca905895e1,Haley,Henson,Pharmacist,Build must from left star.,PharmD,2020-05-15 03:34:55,Cardiology,"Parkview, NJ, 10273",Team 2
c170d01b-fbe6-4d8e-bc3d-95f8afaa8bc1,f1d2edd5-8f7a-4c4b-8226-b0d2792f9f63,Tiffany,Edwards,Nurse,Once force land hour example time nearly.,MD,2016-07-10 01:18:44,Dermatology,"East Russelltown, MD, 32407",Team 2
2232f638-038e-4ce7-84ad-35380fc40da9,0e99e1e1-e5e8-4a7a-91e7-dea316e63eee,Daniel,Bell,Medical Doctor,Energy agent per research realize.,RN,2024-02-09 14:46:35,Geriatrics,"New Christopher, ND, 91367",Team 5
d4c743dc-c74c-4b00-956c-ff0966b5a18e,eb7b2bab-9592-42b8-9773-16802aafdf4a,William,Erickson,Pharmacist,Head care officer school prevent.,RN,2019-12-07 20:49:46,Gastroenterology,"Bakerview, NJ, 64786",Team 5
baf81cbb-704c-42ff-9b71-b2596aaf0168,5a18b9d9-ba30-4a43-8423-9de2aaba44d2,Gina,Ayers,Nurse,Will education relationship result suggest focus heart.,PharmD,2015-01-31 06:31:16,Pediatrics,"Wellsmouth, AL, 58867",Team 4
ed9227c3-c457-4dad-905a-c6dbb2064cd7,187e9117-f6de-42f4-9c71-43ec76c40b21,James,Reid,Nurse,Charge development network bed run wrong prove a.,MD,2016-02-11 06:20:55,Dermatology,"East James, IA, 72271",Team 3
b1b5b537-101f-4862-b28d-bf3bda83da63,6bfec9c8-a077-4670-9c52-47b5f9f948e0,Michelle,Guerra,Nurse,Condition majority trial race capital find.,RN,2019-11-22 16:07:44,Gastroenterology,"North Michaelchester, OK, 78706",Team 1
6825140c-55e4-45f2-9247-71e5360b10eb,a821e471-385f-4e8e-ad72-50d55a34cd7d,Matthew,Martinez,Pharmacist,Mind computer later yes light majority.,RN,2018-02-21 03:28:07,Oncology,"East Nathantown, HI, 66323",Team 2
199562d8-5f01-4711-9b7c-f398d343adb5,a92f3e52-6c6f-4c06-a0d2-fa60d193fdbd,Eileen,Johnson,Pharmacist,Role soldier myself while.,PharmD,2015-03-15 19:22:08,Dermatology,"Port Stacey, IA, 92550",Team 1
9f84bc2e-df8e-4553-a9b7-198807cb9d76,44f7ea7c-d8ca-481f-9a79-97ca905895e1,Elaine,Morrison,Nurse,Cultural than recently continue he low.,RN,2019-04-08 22:45:40,Primary Care,"Royport, MP, 25569",Team 1
67e561c5-3631-453d-bdc3-f3363a9ac8fe,0069e9fe-e7af-4d73-8389-372b9164c3ca,Christina,Davenport,Nurse,Develop only me significant.,PharmD,2016-10-29 15:41:47,Pediatrics,"Port Gina, NM, 99039",Team 1
eb05c18c-414a-4e9d-a741-f586b1befe57,b556a403-860b-419f-b16c-f8ae1fa0b650,Tyler,Johnson,Nurse,Worker that cultural we through.,PharmD,2015-01-17 04:32:55,Cardiology,"Kristinhaven, KS, 92884",Team 3
000521da-3d24-460e-b2b3-7a6f0e0677a7,187e9117-f6de-42f4-9c71-43ec76c40b21,Nathaniel,Perez,Medical Doctor,Term reality quite sport create.,RN,2015-05-24 16:31:44,Gastroenterology,"South Trevor, MP, 87049",Team 1
faf11c25-d144-40e4-a648-c6f6fae13212,fdcc7348-7589-451a-8bd4-9cc3c592782b,Tiffany,Mathews,Nurse,Itself age stuff news ask need never allow.,RN,2019-04-30 08:51:15,Geriatrics,"Wilcoxland, MD, 11951",Team 1
9c0a4351-ef27-41cd-a3dc-08774117c4d6,1106c571-78a0-4747-819c-b5b6958d33d3,Sandra,Black,Nurse,Defense American themselves throughout medical kitchen away.,MD,2022-04-04 20:20:25,Geriatrics,"Jimenezview, NM, 59131",Team 5
03b4292c-45cc-4afd-b18b-eb40bfc4a835,214bcda7-5e32-48dc-ab92-2a72faf127d7,Cynthia,Vazquez,Nurse,Him accept treatment everyone take yeah although.,RN,2022-10-14 11:47:01,Dermatology,"Williamborough, AS, 38261",Team 3
fa67720c-a0a1-4754-8cd3-5114ab568898,d0468e97-c970-42dd-a82e-2fd338603230,Benjamin,Andrews,Medical Doctor,Sport ground anyone budget along television.,MD,2021-03-01 19:14:16,Geriatrics,"East Charlesburgh, MN, 50107",Team 5
0b4779ab-46a9-4925-9037-f94c5487170c,a486200e-4b45-4637-b4da-7483410cce19,Steven,Ho,Medical Doctor,One generation bed blood.,MD,2017-10-04 00:52:09,Pediatrics,"New Justinberg, SC, 81824",Team 3
554d7aa6-d87c-4332-9863-2688b1e2775d,15dfaa08-95a1-4a82-90de-7d4386a06828,Judith,Green,Medical Doctor,Project whom sea.,PharmD,2023-08-09 21:15:19,Pediatrics,"Port Jeffery, NH, 75428",Team 5
f447c167-e9af-4230-a4e2-150e63451f7d,d1bdba5b-e371-40b0-8567-f223e9110894,Jennifer,Lin,Nurse,Easy campaign space.,RN,2015-11-27 02:27:41,Cardiology,"Baileyfort, AZ, 35303",Team 3
8ef6b85c-28ab-49be-88f5-7b9bc15fa623,645de1e3-4574-4f0e-81b6-18dcd2bc7075,Rebecca,Chen,Pharmacist,Together discover mother.,PharmD,2019-02-21 20:13:50,Pediatrics,"Davidshire, FM, 51082",Team 1
44234c40-da84-4f46-a1f4-c130df8a14f6,60da07d2-fa0e-4b70-bd3a-7559b3628924,Deborah,Francis,Nurse,Remember police writer training modern.,RN,2015-01-23 03:32:20,Oncology,"East Vanessaland, TX, 09686",Team 3
a128a9f6-3399-47dd-ad91-db1a02196e0f,a042bfc5-086d-40ea-8c2d-826b8ad7fe6f,Jennifer,Welch,Pharmacist,Rather fish up themselves oil fear also.,PharmD,2024-01-30 01:19:45,Geriatrics,"East Hector, SD, 63734",Team 2
528890d2-5f45-468d-b373-4df564e9fc77,b556a403-860b-419f-b16c-f8ae1fa0b650,Nathan,Burke,Nurse,During day pull old local also.,MD,2015-07-25 21:40:13,Pediatrics,"Lake Patricia, NE, 22566",Team 4
1338191b-efcb-4ad5-b357-9049d9dbdc79,214bcda7-5e32-48dc-ab92-2a72faf127d7,Maria,Odonnell,Medical Doctor,Dark vote become consumer large.,MD,2020-05-28 07:26:22,Oncology,"West Nathantown, KS, 15768",Team 3
5601b481-21e9-4be0-8f51-5060aeb14c8f,88347545-07c2-4bbc-8216-41101a202810,Heidi,Scott,Nurse,Bad pass possible example share generation born easy.,PharmD,2016-06-15 12:16:42,Dermatology,"Jordanchester, KS, 09611",Team 1
221cd7f9-487e-452a-93fe-51e89e5ebfa0,639db379-bf99-47d7-be1d-d29cfbd9f648,George,Brown,Nurse,Police born cause listen court.,MD,2021-08-07 16:54:54,Primary Care,"West Randall, ME, 78929",Team 1
b7b83230-00a8-4352-a49a-9651e667ab5d,9117727e-c7d7-4629-8d75-731cdde3ec3d,Marie,Maldonado,Nurse,Everything state year develop can.,MD,2014-11-14 22:42:28,Cardiology,"East Juan, FM, 14837",Team 1
f17ac138-0c37-429d-bbe7-1b24930e8c37,b556a403-860b-419f-b16c-f8ae1fa0b650,Tamara,Kennedy,Nurse,Capital have sign goal for address step.,PharmD,2019-03-19 04:18:19,Psychiatry,"Jenniferville, RI, 41017",Team 1
d7e3469f-11e0-4e77-86af-00c676d96b30,e35bac62-7b2d-4ae2-aa56-2929916dbf84,Andrew,Perez,Pharmacist,Example understand two agent professional can.,MD,2016-11-19 06:46:13,Oncology,"Kimberlyfurt, IL, 23364",Team 1
e52daaec-3fad-4db1-a521-42d0a025c239,f5cec9a0-9c67-426e-93da-0d4105b8cbff,Toni,Cochran,Pharmacist,May actually experience live.,PharmD,2014-12-02 21:30:18,Neurology,"South Joseph, TX, 43913",Team 3
05e81bb0-5d38-490c-ac2d-7d51900b63f1,1f36793a-3453-48f3-8565-193701a97ff5,James,Rose,Nurse,May determine left prepare structure.,PharmD,2019-04-14 21:55:25,Pediatrics,"New Paul, MT, 57740",Team 1
4a6c9a30-8032-4fa1-8104-d8e7a21471c8,3efcffcd-f5ce-474c-8dad-458ed50da71c,Jared,Gomez,Medical Doctor,Daughter cost official popular decide.,MD,2024-01-09 02:47:53,Cardiology,"East Nathan, LA, 97871",Team 1
d17098ff-c2f0-4f16-82ac-2d4be8e7159f,932c604e-c4ed-4c51-b512-2c039631d0eb,Matthew,Smith,Pharmacist,Church media all agree station.,MD,2023-07-30 19:40:52,Pediatrics,"Port Sarafurt, MN, 37589",Team 2
82d52ffd-3485-4d11-965f-a7e70891c06d,4c4b9ba7-02ff-4879-8ddb-eb2eb93baffe,Nathaniel,Barnes,Pharmacist,Assume forward there raise her material.,MD,2016-11-16 07:11:17,Pediatrics,"Port Ericport, CA, 88781",Team 4
a6711ffd-fc01-4c5f-ab67-80d3c38b2770,be64da36-8a0b-481b-8a21-4c2237ad740b,Amanda,Davis,Nurse,Lose site deal create change purpose pretty page.,RN,2021-02-01 22:04:30,Pediatrics,"Garzabury, OH, 10295",Team 4
7d9c0030-61de-40bf-ae56-c8482d057d39,214bcda7-5e32-48dc-ab92-2a72faf127d7,Maria,Collins,Pharmacist,Board know source rate other a front.,PharmD,2018-08-24 22:54:58,Pediatrics,"Lake Janicetown, VI, 33297",Team 5
715fcc5a-a7c7-45f5-a80e-b376b1c8cddf,78b00b61-7120-494b-9a30-ef9164c03b26,Amanda,Barry,Pharmacist,Nor top just.,RN,2019-04-30 11:01:36,Cardiology,"Port Mackenzieville, MA, 74799",Team 1
58b3a862-857c-42b3-8c80-309ecf2b6e51,15dfaa08-95a1-4a82-90de-7d4386a06828,Justin,Hamilton,Pharmacist,Prevent hour seem dinner anything base.,PharmD,2015-04-02 04:54:31,Gastroenterology,"Lake Chad, MH, 10166",Team 3
40f15512-dfc4-4572-ace9-e675253700be,58755cd4-f9b0-445b-a494-ac262c463cfa,Julie,Kennedy,Nurse,Throw challenge natural evidence bad return.,PharmD,2022-07-12 19:05:30,Oncology,"Lake Cherylmouth, NV, 91091",Team 1
4d01d854-59e5-4747-b0a1-ff3a56f0b32e,c3093f66-24d2-4bcf-8620-c64fb87f43e3,Jill,Guzman,Medical Doctor,Field candidate evening interview can piece.,PharmD,2022-10-23 18:51:20,Primary Care,"Williamsland, NM, 00890",Team 4
359f2a97-26c8-4fef-b322-8988548912a9,a042bfc5-086d-40ea-8c2d-826b8ad7fe6f,Nathan,Reed,Medical Doctor,Computer soldier hospital who whom.,PharmD,2017-11-11 08:06:05,Pediatrics,"New Ericberg, IN, 72124",Team 1
3b08b418-1e9f-47a2-80f8-fcfb5900f3e3,44f7ea7c-d8ca-481f-9a79-97ca905895e1,Joshua,Galvan,Medical Doctor,Article word back.,RN,2021-11-11 23:57:22,Dermatology,"Hillhaven, FM, 52560",Team 1
ee03e05b-6523-4b45-a7bc-e6a1eb29f0e5,9d14cf44-0fbe-4099-915e-13012ca8796d,Johnny,Ibarra,Pharmacist,Design lot able short small.,MD,2019-01-14 20:34:21,Oncology,"Michaelmouth, NV, 47992",Team 2
83fbeb90-d245-468a-8f8d-715a631a673d,645de1e3-4574-4f0e-81b6-18dcd2bc7075,Emily,Jackson,Nurse,Indeed rate strategy season wall later long.,RN,2022-07-03 22:15:44,Pediatrics,"West Margaret, PA, 60651",Team 4
95cbb01b-8089-4c13-b9ec-4135d902cef7,87e7bd90-64d0-4b8d-9f87-92b83767f504,Deanna,Evans,Nurse,Just thought fine federal statement.,PharmD,2023-01-12 17:54:16,Primary Care,"Smithville, VI, 12112",Team 1
ddc49078-db33-42fe-86f4-f21a3d3f7bed,beb7d810-1cda-4959-84f3-6057a232ce08,Nathan,Henry,Medical Doctor,Right part reason little test however thousand.,MD,2019-03-12 05:25:05,Gastroenterology,"New Dianastad, VA, 90715",Team 5
a02a2ba1-d262-4956-85d9-64270342e17c,15dfaa08-95a1-4a82-90de-7d4386a06828,Chelsea,Walton,Nurse,Data exactly decide mean.,RN,2020-09-24 11:19:50,Primary Care,"Meyerbury, PA, 05482",Team 3
22bd01cb-70e2-4ac0-bb4f-6e89f8a7a521,f5cec9a0-9c67-426e-93da-0d4105b8cbff,Connie,Douglas,Pharmacist,Early sometimes read administration.,RN,2024-04-26 08:26:13,Psychiatry,"Lake Emmabury, OH, 33586",Team 4
d0bc7f40-ffff-4ae5-bf26-9e0f0763a1b7,2aae42b6-9f3f-4a3d-9cfa-ba44b8b4fac4,Victoria,Rivera,Nurse,Federal left game industry.,RN,2017-12-25 15:36:59,Pediatrics,"Kristopherside, WY, 67913",Team 3
9643ae37-7778-4bba-8a0f-43e4f875c8af,0d474982-e370-4642-b444-cb81f311f825,Robert,Mitchell,Medical Doctor,Buy media buy.,MD,2017-05-10 06:57:33,Primary Care,"South Mistyfurt, AZ, 93594",Team 5
604b0318-6c75-4204-91c6-892c0b651a71,60da07d2-fa0e-4b70-bd3a-7559b3628924,Melissa,Price,Pharmacist,Official new step image eight political.,MD,2023-08-24 11:55:50,Oncology,"Port Joseph, KY, 81791",Team 3
aa1a1e51-750c-4ace-9c88-9a925193f8c2,932c604e-c4ed-4c51-b512-2c039631d0eb,Daniel,Williams,Pharmacist,Maybe discussion administration discussion fire box paper present.,PharmD,2014-07-16 00:29:19,Geriatrics,"New Micheleside, VT, 11441",Team 2
02ba5cc6-bf93-42b1-8903-0357a4b121f3,5a18b9d9-ba30-4a43-8423-9de2aaba44d2,Diane,Valdez,Medical Doctor,Statement church next.,RN,2017-12-23 12:47:37,Psychiatry,"Port Travisborough, AR, 86697",Team 3
d2d6bdf8-79ec-4523-ab46-49c0f725bfc6,b0995c63-cdb0-4957-8fc9-533a86506c03,Victoria,Martin,Nurse,Than condition call career operation someone happen stuff.,PharmD,2014-07-18 00:14:44,Neurology,"Port Brittany, DE, 74267",Team 4
56fa073f-c4ef-471d-a3b9-211367da8f83,2f219d7b-7162-4cbc-8bd9-22b864908c44,Jennifer,Golden,Nurse,Task kitchen again daughter federal right.,PharmD,2020-09-07 15:25:36,Pediatrics,"Smithtown, KS, 33925",Team 5
df445cbf-a8b7-4cbc-b4f0-af8a707d487c,3efcffcd-f5ce-474c-8dad-458ed50da71c,Noah,Hayes,Medical Doctor,Language tax go draw.,PharmD,2018-03-09 23:52:38,Gastroenterology,"Port Chad, IN, 12247",Team 2
a7b2ea46-f230-484b-b9a7-b39b235ee43f,88347545-07c2-4bbc-8216-41101a202810,Bryan,Miller,Pharmacist,Large just light answer.,PharmD,2018-04-03 10:43:55,Oncology,"South Steven, MD, 56479",Team 5
20c8f146-655f-482d-924a-723677b67d99,168bdd97-a27f-4b1f-96e2-10f422edc91e,Amy,Brown,Pharmacist,Play spend cup cut expect once.,RN,2018-09-27 04:37:13,Psychiatry,"Port Jamesside, SC, 74079",Team 5
5496ea42-efa5-41f5-ba83-40846abb224b,5a18b9d9-ba30-4a43-8423-9de2aaba44d2,Jeffrey,Baker,Nurse,Hotel consumer current computer nature who.,MD,2023-08-28 07:27:19,Primary Care,"South Ronald, GA, 91104",Team 2
73ec6d9c-3848-4c79-a08b-8dceab81448c,6bfec9c8-a077-4670-9c52-47b5f9f948e0,Denise,Erickson,Nurse,Attack cell food international since over.,PharmD,2018-01-21 18:07:16,Geriatrics,"Chelseaside, NE, 19746",Team 5
e0273135-8a3a-4a9d-8016-1a8b5e7793c7,128a9e9a-8f0d-4569-ac14-65a5b308b765,Edward,Wilson,Nurse,Human growth early.,PharmD,2016-02-09 10:28:22,Primary Care,"Port Danny, GU, 64683",Team 5
6aa8dad3-e4c5-43cf-a2d1-6429c746c1a6,f685343a-9dfc-4950-a4af-614e39043e44,Mercedes,Johnson,Medical Doctor,Picture eye approach nothing democratic ten.,RN,2016-10-22 06:14:03,Primary Care,"Jaredview, VI, 48818",Team 2
75cd85e8-f8bd-4212-b74f-31622d91cbae,3efcffcd-f5ce-474c-8dad-458ed50da71c,Ryan,Dominguez,Nurse,Region audience article hit oil increase garden.,RN,2018-12-12 11:43:57,Pediatrics,"Liuhaven, AR, 44300",Team 5
b9738219-2de0-4ba9-a580-7bdf0c4571b8,2a03d229-9c61-48ed-8d51-70fccb4568ab,Briana,George,Pharmacist,Ago place study direction staff.,MD,2019-07-26 11:46:20,Dermatology,"Lake Olivia, ID, 97324",Team 3
